"CHR","Map_Locus","POS","Description"
"MT","MT-HV2",95,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",96,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",97,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",98,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",99,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",100,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",101,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",102,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",103,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",104,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",105,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",106,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",107,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",108,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",109,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",110,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",111,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",112,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",113,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",114,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",115,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",116,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",117,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",118,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",119,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",120,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",121,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",122,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",123,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",124,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",125,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",126,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",127,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",128,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",129,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",130,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",131,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",132,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",133,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",134,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",135,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",136,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",137,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",138,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",139,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",140,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",141,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",142,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",143,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",144,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",145,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",146,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",147,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",148,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",149,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",150,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",151,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",152,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",153,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",154,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",155,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",156,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",157,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",158,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",159,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",160,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",161,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",162,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",163,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",164,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",165,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",166,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",167,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",168,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",169,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",170,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",171,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",172,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",173,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",174,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",175,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",176,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",177,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",178,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",179,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",180,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",181,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",182,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",183,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",184,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",185,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",186,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",187,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",188,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",189,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",190,"Hypervariable segment 2 [classic:73-340 ];H-strand origins"
"MT","MT-HV2",191,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",192,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",193,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",194,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",195,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",196,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",197,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",198,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",199,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",200,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",201,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",202,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",203,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",204,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",205,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",206,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",207,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",208,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",209,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",210,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",211,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",212,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",213,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",214,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",215,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",216,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",217,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",218,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",219,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",220,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",221,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",222,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",223,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",224,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",225,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",226,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",227,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",228,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",229,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",230,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",231,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",232,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;7S DNA"
"MT","MT-HV2",233,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;mtTF1 binding site;7S DNA"
"MT","MT-HV2",234,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;mtTF1 binding site;7S DNA"
"MT","MT-HV2",235,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 1;mtTF1 binding site;7S DNA"
"MT","MT-HV2",236,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",237,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",238,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",239,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",240,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",241,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",242,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",243,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",244,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",245,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",246,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",247,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",248,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",249,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",250,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",251,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",252,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",253,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",254,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",255,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",256,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",257,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",258,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",259,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",260,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",261,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",262,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",263,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",264,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",265,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",266,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",267,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",268,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",269,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",270,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",271,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",272,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",273,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",274,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",275,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",276,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",277,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",278,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",279,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",280,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",281,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",282,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",283,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",284,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",285,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",286,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",287,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",288,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",289,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",290,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",291,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",292,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",293,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",294,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",295,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",296,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",297,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",298,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;7S DNA"
"MT","MT-HV2",299,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",300,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",301,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",302,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",303,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;mtTF1 binding site;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",304,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",305,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",306,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",307,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",308,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",309,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",310,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",311,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",312,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",313,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",314,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",315,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;Conserved sequence block 2;7S DNA"
"MT","MT-HV2",316,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",317,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;replication primer;7S DNA"
"MT","MT-HV2",318,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;replication primer;7S DNA"
"MT","MT-HV2",319,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;replication primer;7S DNA"
"MT","MT-HV2",320,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;replication primer;7S DNA"
"MT","MT-HV2",321,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;replication primer;7S DNA"
"MT","MT-HV2",322,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",323,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",324,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",325,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",326,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",327,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",328,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",329,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",330,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",331,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",332,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",333,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",334,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",335,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",336,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",337,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",338,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",339,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",340,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",341,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
"MT","MT-HV2",342,"Hypervariable segment 2 [classic:73-340 ];H-strand origins;7S DNA"
