"CHR","POS","GENE","GENE_BIOTYPE"
"MT",671,"MT-RNR1","Mt_rRNA"
"MT",672,"MT-RNR1","Mt_rRNA"
"MT",673,"MT-RNR1","Mt_rRNA"
"MT",674,"MT-RNR1","Mt_rRNA"
"MT",675,"MT-RNR1","Mt_rRNA"
"MT",676,"MT-RNR1","Mt_rRNA"
"MT",677,"MT-RNR1","Mt_rRNA"
"MT",678,"MT-RNR1","Mt_rRNA"
"MT",679,"MT-RNR1","Mt_rRNA"
"MT",680,"MT-RNR1","Mt_rRNA"
"MT",681,"MT-RNR1","Mt_rRNA"
"MT",682,"MT-RNR1","Mt_rRNA"
"MT",683,"MT-RNR1","Mt_rRNA"
"MT",684,"MT-RNR1","Mt_rRNA"
"MT",685,"MT-RNR1","Mt_rRNA"
"MT",686,"MT-RNR1","Mt_rRNA"
"MT",687,"MT-RNR1","Mt_rRNA"
"MT",688,"MT-RNR1","Mt_rRNA"
"MT",689,"MT-RNR1","Mt_rRNA"
"MT",690,"MT-RNR1","Mt_rRNA"
"MT",691,"MT-RNR1","Mt_rRNA"
"MT",692,"MT-RNR1","Mt_rRNA"
"MT",693,"MT-RNR1","Mt_rRNA"
"MT",694,"MT-RNR1","Mt_rRNA"
"MT",695,"MT-RNR1","Mt_rRNA"
"MT",696,"MT-RNR1","Mt_rRNA"
"MT",697,"MT-RNR1","Mt_rRNA"
"MT",698,"MT-RNR1","Mt_rRNA"
"MT",699,"MT-RNR1","Mt_rRNA"
"MT",700,"MT-RNR1","Mt_rRNA"
"MT",701,"MT-RNR1","Mt_rRNA"
"MT",702,"MT-RNR1","Mt_rRNA"
"MT",703,"MT-RNR1","Mt_rRNA"
"MT",704,"MT-RNR1","Mt_rRNA"
"MT",705,"MT-RNR1","Mt_rRNA"
"MT",706,"MT-RNR1","Mt_rRNA"
"MT",707,"MT-RNR1","Mt_rRNA"
"MT",708,"MT-RNR1","Mt_rRNA"
"MT",709,"MT-RNR1","Mt_rRNA"
"MT",710,"MT-RNR1","Mt_rRNA"
"MT",711,"MT-RNR1","Mt_rRNA"
"MT",712,"MT-RNR1","Mt_rRNA"
"MT",713,"MT-RNR1","Mt_rRNA"
"MT",714,"MT-RNR1","Mt_rRNA"
"MT",715,"MT-RNR1","Mt_rRNA"
"MT",716,"MT-RNR1","Mt_rRNA"
"MT",717,"MT-RNR1","Mt_rRNA"
"MT",718,"MT-RNR1","Mt_rRNA"
"MT",719,"MT-RNR1","Mt_rRNA"
"MT",720,"MT-RNR1","Mt_rRNA"
"MT",721,"MT-RNR1","Mt_rRNA"
"MT",722,"MT-RNR1","Mt_rRNA"
"MT",723,"MT-RNR1","Mt_rRNA"
"MT",724,"MT-RNR1","Mt_rRNA"
"MT",725,"MT-RNR1","Mt_rRNA"
"MT",726,"MT-RNR1","Mt_rRNA"
"MT",727,"MT-RNR1","Mt_rRNA"
"MT",728,"MT-RNR1","Mt_rRNA"
"MT",729,"MT-RNR1","Mt_rRNA"
"MT",730,"MT-RNR1","Mt_rRNA"
"MT",731,"MT-RNR1","Mt_rRNA"
"MT",732,"MT-RNR1","Mt_rRNA"
"MT",733,"MT-RNR1","Mt_rRNA"
"MT",734,"MT-RNR1","Mt_rRNA"
"MT",735,"MT-RNR1","Mt_rRNA"
"MT",736,"MT-RNR1","Mt_rRNA"
"MT",737,"MT-RNR1","Mt_rRNA"
"MT",738,"MT-RNR1","Mt_rRNA"
"MT",739,"MT-RNR1","Mt_rRNA"
"MT",740,"MT-RNR1","Mt_rRNA"
"MT",741,"MT-RNR1","Mt_rRNA"
"MT",742,"MT-RNR1","Mt_rRNA"
"MT",743,"MT-RNR1","Mt_rRNA"
"MT",744,"MT-RNR1","Mt_rRNA"
"MT",745,"MT-RNR1","Mt_rRNA"
"MT",746,"MT-RNR1","Mt_rRNA"
"MT",747,"MT-RNR1","Mt_rRNA"
"MT",748,"MT-RNR1","Mt_rRNA"
"MT",749,"MT-RNR1","Mt_rRNA"
"MT",750,"MT-RNR1","Mt_rRNA"
"MT",751,"MT-RNR1","Mt_rRNA"
"MT",752,"MT-RNR1","Mt_rRNA"
"MT",753,"MT-RNR1","Mt_rRNA"
"MT",754,"MT-RNR1","Mt_rRNA"
"MT",755,"MT-RNR1","Mt_rRNA"
"MT",756,"MT-RNR1","Mt_rRNA"
"MT",757,"MT-RNR1","Mt_rRNA"
"MT",758,"MT-RNR1","Mt_rRNA"
"MT",759,"MT-RNR1","Mt_rRNA"
"MT",760,"MT-RNR1","Mt_rRNA"
"MT",761,"MT-RNR1","Mt_rRNA"
"MT",762,"MT-RNR1","Mt_rRNA"
"MT",763,"MT-RNR1","Mt_rRNA"
"MT",764,"MT-RNR1","Mt_rRNA"
"MT",765,"MT-RNR1","Mt_rRNA"
"MT",766,"MT-RNR1","Mt_rRNA"
"MT",767,"MT-RNR1","Mt_rRNA"
"MT",768,"MT-RNR1","Mt_rRNA"
"MT",769,"MT-RNR1","Mt_rRNA"
"MT",770,"MT-RNR1","Mt_rRNA"
"MT",771,"MT-RNR1","Mt_rRNA"
"MT",772,"MT-RNR1","Mt_rRNA"
"MT",773,"MT-RNR1","Mt_rRNA"
"MT",774,"MT-RNR1","Mt_rRNA"
"MT",775,"MT-RNR1","Mt_rRNA"
"MT",776,"MT-RNR1","Mt_rRNA"
"MT",777,"MT-RNR1","Mt_rRNA"
"MT",778,"MT-RNR1","Mt_rRNA"
"MT",779,"MT-RNR1","Mt_rRNA"
"MT",780,"MT-RNR1","Mt_rRNA"
"MT",781,"MT-RNR1","Mt_rRNA"
"MT",782,"MT-RNR1","Mt_rRNA"
"MT",783,"MT-RNR1","Mt_rRNA"
"MT",784,"MT-RNR1","Mt_rRNA"
"MT",785,"MT-RNR1","Mt_rRNA"
"MT",786,"MT-RNR1","Mt_rRNA"
"MT",787,"MT-RNR1","Mt_rRNA"
"MT",788,"MT-RNR1","Mt_rRNA"
"MT",789,"MT-RNR1","Mt_rRNA"
"MT",790,"MT-RNR1","Mt_rRNA"
"MT",791,"MT-RNR1","Mt_rRNA"
"MT",792,"MT-RNR1","Mt_rRNA"
"MT",793,"MT-RNR1","Mt_rRNA"
"MT",794,"MT-RNR1","Mt_rRNA"
"MT",795,"MT-RNR1","Mt_rRNA"
"MT",796,"MT-RNR1","Mt_rRNA"
"MT",797,"MT-RNR1","Mt_rRNA"
"MT",798,"MT-RNR1","Mt_rRNA"
"MT",799,"MT-RNR1","Mt_rRNA"
"MT",800,"MT-RNR1","Mt_rRNA"
"MT",801,"MT-RNR1","Mt_rRNA"
"MT",802,"MT-RNR1","Mt_rRNA"
"MT",803,"MT-RNR1","Mt_rRNA"
"MT",804,"MT-RNR1","Mt_rRNA"
"MT",805,"MT-RNR1","Mt_rRNA"
"MT",806,"MT-RNR1","Mt_rRNA"
"MT",807,"MT-RNR1","Mt_rRNA"
"MT",808,"MT-RNR1","Mt_rRNA"
"MT",809,"MT-RNR1","Mt_rRNA"
"MT",810,"MT-RNR1","Mt_rRNA"
"MT",811,"MT-RNR1","Mt_rRNA"
"MT",812,"MT-RNR1","Mt_rRNA"
"MT",813,"MT-RNR1","Mt_rRNA"
"MT",814,"MT-RNR1","Mt_rRNA"
"MT",815,"MT-RNR1","Mt_rRNA"
"MT",816,"MT-RNR1","Mt_rRNA"
"MT",817,"MT-RNR1","Mt_rRNA"
"MT",818,"MT-RNR1","Mt_rRNA"
"MT",819,"MT-RNR1","Mt_rRNA"
"MT",820,"MT-RNR1","Mt_rRNA"
"MT",821,"MT-RNR1","Mt_rRNA"
"MT",822,"MT-RNR1","Mt_rRNA"
"MT",823,"MT-RNR1","Mt_rRNA"
"MT",824,"MT-RNR1","Mt_rRNA"
"MT",825,"MT-RNR1","Mt_rRNA"
"MT",826,"MT-RNR1","Mt_rRNA"
"MT",827,"MT-RNR1","Mt_rRNA"
"MT",828,"MT-RNR1","Mt_rRNA"
"MT",829,"MT-RNR1","Mt_rRNA"
"MT",830,"MT-RNR1","Mt_rRNA"
"MT",831,"MT-RNR1","Mt_rRNA"
"MT",832,"MT-RNR1","Mt_rRNA"
"MT",833,"MT-RNR1","Mt_rRNA"
"MT",834,"MT-RNR1","Mt_rRNA"
"MT",835,"MT-RNR1","Mt_rRNA"
"MT",836,"MT-RNR1","Mt_rRNA"
"MT",837,"MT-RNR1","Mt_rRNA"
"MT",838,"MT-RNR1","Mt_rRNA"
"MT",839,"MT-RNR1","Mt_rRNA"
"MT",840,"MT-RNR1","Mt_rRNA"
"MT",841,"MT-RNR1","Mt_rRNA"
"MT",842,"MT-RNR1","Mt_rRNA"
"MT",843,"MT-RNR1","Mt_rRNA"
"MT",844,"MT-RNR1","Mt_rRNA"
"MT",845,"MT-RNR1","Mt_rRNA"
"MT",846,"MT-RNR1","Mt_rRNA"
"MT",847,"MT-RNR1","Mt_rRNA"
"MT",848,"MT-RNR1","Mt_rRNA"
"MT",849,"MT-RNR1","Mt_rRNA"
"MT",850,"MT-RNR1","Mt_rRNA"
"MT",851,"MT-RNR1","Mt_rRNA"
"MT",852,"MT-RNR1","Mt_rRNA"
"MT",853,"MT-RNR1","Mt_rRNA"
"MT",854,"MT-RNR1","Mt_rRNA"
"MT",855,"MT-RNR1","Mt_rRNA"
"MT",856,"MT-RNR1","Mt_rRNA"
"MT",857,"MT-RNR1","Mt_rRNA"
"MT",858,"MT-RNR1","Mt_rRNA"
"MT",859,"MT-RNR1","Mt_rRNA"
"MT",860,"MT-RNR1","Mt_rRNA"
"MT",861,"MT-RNR1","Mt_rRNA"
"MT",862,"MT-RNR1","Mt_rRNA"
"MT",863,"MT-RNR1","Mt_rRNA"
"MT",864,"MT-RNR1","Mt_rRNA"
"MT",865,"MT-RNR1","Mt_rRNA"
"MT",866,"MT-RNR1","Mt_rRNA"
"MT",867,"MT-RNR1","Mt_rRNA"
"MT",868,"MT-RNR1","Mt_rRNA"
"MT",869,"MT-RNR1","Mt_rRNA"
"MT",870,"MT-RNR1","Mt_rRNA"
"MT",871,"MT-RNR1","Mt_rRNA"
"MT",872,"MT-RNR1","Mt_rRNA"
"MT",873,"MT-RNR1","Mt_rRNA"
"MT",874,"MT-RNR1","Mt_rRNA"
"MT",875,"MT-RNR1","Mt_rRNA"
"MT",876,"MT-RNR1","Mt_rRNA"
"MT",877,"MT-RNR1","Mt_rRNA"
"MT",878,"MT-RNR1","Mt_rRNA"
"MT",879,"MT-RNR1","Mt_rRNA"
"MT",880,"MT-RNR1","Mt_rRNA"
"MT",881,"MT-RNR1","Mt_rRNA"
"MT",882,"MT-RNR1","Mt_rRNA"
"MT",883,"MT-RNR1","Mt_rRNA"
"MT",884,"MT-RNR1","Mt_rRNA"
"MT",885,"MT-RNR1","Mt_rRNA"
"MT",886,"MT-RNR1","Mt_rRNA"
"MT",887,"MT-RNR1","Mt_rRNA"
"MT",888,"MT-RNR1","Mt_rRNA"
"MT",889,"MT-RNR1","Mt_rRNA"
"MT",890,"MT-RNR1","Mt_rRNA"
"MT",891,"MT-RNR1","Mt_rRNA"
"MT",892,"MT-RNR1","Mt_rRNA"
"MT",893,"MT-RNR1","Mt_rRNA"
"MT",894,"MT-RNR1","Mt_rRNA"
"MT",895,"MT-RNR1","Mt_rRNA"
"MT",896,"MT-RNR1","Mt_rRNA"
"MT",897,"MT-RNR1","Mt_rRNA"
"MT",898,"MT-RNR1","Mt_rRNA"
"MT",899,"MT-RNR1","Mt_rRNA"
"MT",900,"MT-RNR1","Mt_rRNA"
"MT",901,"MT-RNR1","Mt_rRNA"
"MT",902,"MT-RNR1","Mt_rRNA"
"MT",903,"MT-RNR1","Mt_rRNA"
"MT",904,"MT-RNR1","Mt_rRNA"
"MT",905,"MT-RNR1","Mt_rRNA"
"MT",906,"MT-RNR1","Mt_rRNA"
"MT",907,"MT-RNR1","Mt_rRNA"
"MT",908,"MT-RNR1","Mt_rRNA"
"MT",909,"MT-RNR1","Mt_rRNA"
"MT",910,"MT-RNR1","Mt_rRNA"
"MT",911,"MT-RNR1","Mt_rRNA"
"MT",912,"MT-RNR1","Mt_rRNA"
"MT",913,"MT-RNR1","Mt_rRNA"
"MT",914,"MT-RNR1","Mt_rRNA"
"MT",915,"MT-RNR1","Mt_rRNA"
"MT",916,"MT-RNR1","Mt_rRNA"
"MT",917,"MT-RNR1","Mt_rRNA"
"MT",918,"MT-RNR1","Mt_rRNA"
"MT",919,"MT-RNR1","Mt_rRNA"
"MT",920,"MT-RNR1","Mt_rRNA"
"MT",921,"MT-RNR1","Mt_rRNA"
"MT",922,"MT-RNR1","Mt_rRNA"
"MT",923,"MT-RNR1","Mt_rRNA"
"MT",924,"MT-RNR1","Mt_rRNA"
"MT",925,"MT-RNR1","Mt_rRNA"
"MT",926,"MT-RNR1","Mt_rRNA"
"MT",927,"MT-RNR1","Mt_rRNA"
"MT",928,"MT-RNR1","Mt_rRNA"
"MT",929,"MT-RNR1","Mt_rRNA"
"MT",930,"MT-RNR1","Mt_rRNA"
"MT",931,"MT-RNR1","Mt_rRNA"
"MT",932,"MT-RNR1","Mt_rRNA"
"MT",933,"MT-RNR1","Mt_rRNA"
"MT",934,"MT-RNR1","Mt_rRNA"
"MT",935,"MT-RNR1","Mt_rRNA"
"MT",936,"MT-RNR1","Mt_rRNA"
"MT",937,"MT-RNR1","Mt_rRNA"
"MT",938,"MT-RNR1","Mt_rRNA"
"MT",939,"MT-RNR1","Mt_rRNA"
"MT",940,"MT-RNR1","Mt_rRNA"
"MT",941,"MT-RNR1","Mt_rRNA"
"MT",942,"MT-RNR1","Mt_rRNA"
"MT",943,"MT-RNR1","Mt_rRNA"
"MT",944,"MT-RNR1","Mt_rRNA"
"MT",945,"MT-RNR1","Mt_rRNA"
"MT",946,"MT-RNR1","Mt_rRNA"
"MT",947,"MT-RNR1","Mt_rRNA"
"MT",948,"MT-RNR1","Mt_rRNA"
"MT",949,"MT-RNR1","Mt_rRNA"
"MT",950,"MT-RNR1","Mt_rRNA"
"MT",951,"MT-RNR1","Mt_rRNA"
"MT",952,"MT-RNR1","Mt_rRNA"
"MT",953,"MT-RNR1","Mt_rRNA"
"MT",954,"MT-RNR1","Mt_rRNA"
"MT",955,"MT-RNR1","Mt_rRNA"
"MT",956,"MT-RNR1","Mt_rRNA"
"MT",957,"MT-RNR1","Mt_rRNA"
"MT",958,"MT-RNR1","Mt_rRNA"
"MT",959,"MT-RNR1","Mt_rRNA"
"MT",960,"MT-RNR1","Mt_rRNA"
"MT",961,"MT-RNR1","Mt_rRNA"
"MT",962,"MT-RNR1","Mt_rRNA"
"MT",963,"MT-RNR1","Mt_rRNA"
"MT",964,"MT-RNR1","Mt_rRNA"
"MT",965,"MT-RNR1","Mt_rRNA"
"MT",966,"MT-RNR1","Mt_rRNA"
"MT",967,"MT-RNR1","Mt_rRNA"
"MT",968,"MT-RNR1","Mt_rRNA"
"MT",969,"MT-RNR1","Mt_rRNA"
"MT",970,"MT-RNR1","Mt_rRNA"
"MT",971,"MT-RNR1","Mt_rRNA"
"MT",972,"MT-RNR1","Mt_rRNA"
"MT",973,"MT-RNR1","Mt_rRNA"
"MT",974,"MT-RNR1","Mt_rRNA"
"MT",975,"MT-RNR1","Mt_rRNA"
"MT",976,"MT-RNR1","Mt_rRNA"
"MT",977,"MT-RNR1","Mt_rRNA"
"MT",978,"MT-RNR1","Mt_rRNA"
"MT",979,"MT-RNR1","Mt_rRNA"
"MT",980,"MT-RNR1","Mt_rRNA"
"MT",981,"MT-RNR1","Mt_rRNA"
"MT",982,"MT-RNR1","Mt_rRNA"
"MT",983,"MT-RNR1","Mt_rRNA"
"MT",984,"MT-RNR1","Mt_rRNA"
"MT",985,"MT-RNR1","Mt_rRNA"
"MT",986,"MT-RNR1","Mt_rRNA"
"MT",987,"MT-RNR1","Mt_rRNA"
"MT",988,"MT-RNR1","Mt_rRNA"
"MT",989,"MT-RNR1","Mt_rRNA"
"MT",990,"MT-RNR1","Mt_rRNA"
"MT",991,"MT-RNR1","Mt_rRNA"
"MT",992,"MT-RNR1","Mt_rRNA"
"MT",993,"MT-RNR1","Mt_rRNA"
"MT",994,"MT-RNR1","Mt_rRNA"
"MT",995,"MT-RNR1","Mt_rRNA"
"MT",996,"MT-RNR1","Mt_rRNA"
"MT",997,"MT-RNR1","Mt_rRNA"
"MT",998,"MT-RNR1","Mt_rRNA"
"MT",999,"MT-RNR1","Mt_rRNA"
"MT",1000,"MT-RNR1","Mt_rRNA"
"MT",1001,"MT-RNR1","Mt_rRNA"
"MT",1002,"MT-RNR1","Mt_rRNA"
"MT",1003,"MT-RNR1","Mt_rRNA"
"MT",1004,"MT-RNR1","Mt_rRNA"
"MT",1005,"MT-RNR1","Mt_rRNA"
"MT",1006,"MT-RNR1","Mt_rRNA"
"MT",1007,"MT-RNR1","Mt_rRNA"
"MT",1008,"MT-RNR1","Mt_rRNA"
"MT",1009,"MT-RNR1","Mt_rRNA"
"MT",1010,"MT-RNR1","Mt_rRNA"
"MT",1011,"MT-RNR1","Mt_rRNA"
"MT",1012,"MT-RNR1","Mt_rRNA"
"MT",1013,"MT-RNR1","Mt_rRNA"
"MT",1014,"MT-RNR1","Mt_rRNA"
"MT",1015,"MT-RNR1","Mt_rRNA"
"MT",1016,"MT-RNR1","Mt_rRNA"
"MT",1017,"MT-RNR1","Mt_rRNA"
"MT",1018,"MT-RNR1","Mt_rRNA"
"MT",1019,"MT-RNR1","Mt_rRNA"
"MT",1020,"MT-RNR1","Mt_rRNA"
"MT",1021,"MT-RNR1","Mt_rRNA"
"MT",1022,"MT-RNR1","Mt_rRNA"
"MT",1023,"MT-RNR1","Mt_rRNA"
"MT",1024,"MT-RNR1","Mt_rRNA"
"MT",1025,"MT-RNR1","Mt_rRNA"
"MT",1026,"MT-RNR1","Mt_rRNA"
"MT",1027,"MT-RNR1","Mt_rRNA"
"MT",1028,"MT-RNR1","Mt_rRNA"
"MT",1029,"MT-RNR1","Mt_rRNA"
"MT",1030,"MT-RNR1","Mt_rRNA"
"MT",1031,"MT-RNR1","Mt_rRNA"
"MT",1032,"MT-RNR1","Mt_rRNA"
"MT",1033,"MT-RNR1","Mt_rRNA"
"MT",1034,"MT-RNR1","Mt_rRNA"
"MT",1035,"MT-RNR1","Mt_rRNA"
"MT",1036,"MT-RNR1","Mt_rRNA"
"MT",1037,"MT-RNR1","Mt_rRNA"
"MT",1038,"MT-RNR1","Mt_rRNA"
"MT",1039,"MT-RNR1","Mt_rRNA"
"MT",1040,"MT-RNR1","Mt_rRNA"
"MT",1041,"MT-RNR1","Mt_rRNA"
"MT",1042,"MT-RNR1","Mt_rRNA"
"MT",1043,"MT-RNR1","Mt_rRNA"
"MT",1044,"MT-RNR1","Mt_rRNA"
"MT",1045,"MT-RNR1","Mt_rRNA"
"MT",1046,"MT-RNR1","Mt_rRNA"
"MT",1047,"MT-RNR1","Mt_rRNA"
"MT",1048,"MT-RNR1","Mt_rRNA"
"MT",1049,"MT-RNR1","Mt_rRNA"
"MT",1050,"MT-RNR1","Mt_rRNA"
"MT",1051,"MT-RNR1","Mt_rRNA"
"MT",1052,"MT-RNR1","Mt_rRNA"
"MT",1053,"MT-RNR1","Mt_rRNA"
"MT",1054,"MT-RNR1","Mt_rRNA"
"MT",1055,"MT-RNR1","Mt_rRNA"
"MT",1056,"MT-RNR1","Mt_rRNA"
"MT",1057,"MT-RNR1","Mt_rRNA"
"MT",1058,"MT-RNR1","Mt_rRNA"
"MT",1059,"MT-RNR1","Mt_rRNA"
"MT",1060,"MT-RNR1","Mt_rRNA"
"MT",1061,"MT-RNR1","Mt_rRNA"
"MT",1062,"MT-RNR1","Mt_rRNA"
"MT",1063,"MT-RNR1","Mt_rRNA"
"MT",1064,"MT-RNR1","Mt_rRNA"
"MT",1065,"MT-RNR1","Mt_rRNA"
"MT",1066,"MT-RNR1","Mt_rRNA"
"MT",1067,"MT-RNR1","Mt_rRNA"
"MT",1068,"MT-RNR1","Mt_rRNA"
"MT",1069,"MT-RNR1","Mt_rRNA"
"MT",1070,"MT-RNR1","Mt_rRNA"
"MT",1071,"MT-RNR1","Mt_rRNA"
"MT",1072,"MT-RNR1","Mt_rRNA"
"MT",1073,"MT-RNR1","Mt_rRNA"
"MT",1074,"MT-RNR1","Mt_rRNA"
"MT",1075,"MT-RNR1","Mt_rRNA"
"MT",1076,"MT-RNR1","Mt_rRNA"
"MT",1077,"MT-RNR1","Mt_rRNA"
"MT",1078,"MT-RNR1","Mt_rRNA"
"MT",1079,"MT-RNR1","Mt_rRNA"
"MT",1080,"MT-RNR1","Mt_rRNA"
"MT",1081,"MT-RNR1","Mt_rRNA"
"MT",1082,"MT-RNR1","Mt_rRNA"
"MT",1083,"MT-RNR1","Mt_rRNA"
"MT",1084,"MT-RNR1","Mt_rRNA"
"MT",1085,"MT-RNR1","Mt_rRNA"
"MT",1086,"MT-RNR1","Mt_rRNA"
"MT",1087,"MT-RNR1","Mt_rRNA"
"MT",1088,"MT-RNR1","Mt_rRNA"
"MT",1089,"MT-RNR1","Mt_rRNA"
"MT",1090,"MT-RNR1","Mt_rRNA"
"MT",1091,"MT-RNR1","Mt_rRNA"
"MT",1092,"MT-RNR1","Mt_rRNA"
"MT",1093,"MT-RNR1","Mt_rRNA"
"MT",1094,"MT-RNR1","Mt_rRNA"
"MT",1095,"MT-RNR1","Mt_rRNA"
"MT",1096,"MT-RNR1","Mt_rRNA"
"MT",1097,"MT-RNR1","Mt_rRNA"
"MT",1098,"MT-RNR1","Mt_rRNA"
"MT",1099,"MT-RNR1","Mt_rRNA"
"MT",1100,"MT-RNR1","Mt_rRNA"
"MT",1101,"MT-RNR1","Mt_rRNA"
"MT",1102,"MT-RNR1","Mt_rRNA"
"MT",1103,"MT-RNR1","Mt_rRNA"
"MT",1104,"MT-RNR1","Mt_rRNA"
"MT",1105,"MT-RNR1","Mt_rRNA"
"MT",1106,"MT-RNR1","Mt_rRNA"
"MT",1107,"MT-RNR1","Mt_rRNA"
"MT",1108,"MT-RNR1","Mt_rRNA"
"MT",1109,"MT-RNR1","Mt_rRNA"
"MT",1110,"MT-RNR1","Mt_rRNA"
"MT",1111,"MT-RNR1","Mt_rRNA"
"MT",1112,"MT-RNR1","Mt_rRNA"
"MT",1113,"MT-RNR1","Mt_rRNA"
"MT",1114,"MT-RNR1","Mt_rRNA"
"MT",1115,"MT-RNR1","Mt_rRNA"
"MT",1116,"MT-RNR1","Mt_rRNA"
"MT",1117,"MT-RNR1","Mt_rRNA"
"MT",1118,"MT-RNR1","Mt_rRNA"
"MT",1119,"MT-RNR1","Mt_rRNA"
"MT",1120,"MT-RNR1","Mt_rRNA"
"MT",1121,"MT-RNR1","Mt_rRNA"
"MT",1122,"MT-RNR1","Mt_rRNA"
"MT",1123,"MT-RNR1","Mt_rRNA"
"MT",1124,"MT-RNR1","Mt_rRNA"
"MT",1125,"MT-RNR1","Mt_rRNA"
"MT",1126,"MT-RNR1","Mt_rRNA"
"MT",1127,"MT-RNR1","Mt_rRNA"
"MT",1128,"MT-RNR1","Mt_rRNA"
"MT",1129,"MT-RNR1","Mt_rRNA"
"MT",1130,"MT-RNR1","Mt_rRNA"
"MT",1131,"MT-RNR1","Mt_rRNA"
"MT",1132,"MT-RNR1","Mt_rRNA"
"MT",1133,"MT-RNR1","Mt_rRNA"
"MT",1134,"MT-RNR1","Mt_rRNA"
